USN,NAME,AGE,SALARY,EXPERIENCE,MOBILE,CITY,GENDER,MARRIED
1RV19MCA01,Abhimann Roy,,"25,000",1,9876500000,Agartala,Male,TRUE
1RV19MCA02,Achu Rajamani,30,50000,2,9876500100,Aizawl,Male,FALSE
1RV19MCA03,Adnan Sami,40,75000,3,9876500101,Bengaluru,Female,TRUE
1RV19MCA04,Ankit Tiwari,50,100000,4,9876500102,Bhopal,Female,FALSE
1RV19MCA05,Ajay?Atul,60,125000,5,9876500103,Bhubaneswar,Male,TRUE
1RV19MCA06,Amaal Mallik,24,150000,6,9876500104,Chandigarh,Male,FALSE
1RV19MCA07,Anand Bakshi,21,175000,7,9876500105,Chennai,Male,TRUE
1RV19MCA08,Amit Trivedi,23,200000,8,9876500106,Dehradun,Female,FALSE
1RV19MCA09,Anand Raj Anand,25,225000,9,9876500107,Dispur,Female,TRUE
1RV19MCA10,Anand–Milind,27,250000,10,9876500108,Gandhinagar,Female,FALSE
1RV19MCA11,Anand Modak,29,275000,11,9876500109,Gangtok,Female,TRUE
1RV19MCA12,Anirudh Ravichander,31,300000,12,9876500110,Hyderabad,Male,FALSE
1RV19MCA13,Hiphop Tamizha,55,325000,13,9876500111,Imphal,Male,TRUE
1RV19MCA14,Santhosh Narayanan,55,350000,14,9876500112,Itanagar,Female,FALSE
1RV19MCA15,Anup Rubens,55,375000,15,9876500113,Jaipur,Male,TRUE
1RV19MCA16,Mickey J Meyer,55,400000,16,9876500114,Kohima,Male,TRUE
1RV19MCA17,AFALSEop Seelin,55,425000,17,9876500115,Kolkata,Male,TRUE
1RV19MCA18,Anu Malik,,450000,18,9876500116,LuckFALSEw,Male,TRUE
1RV19MCA19,Arjuna Harjai,42,475000,19,9876500117,Mumbai,Male,TRUE
1RV19MCA20,Arjun Janya,43,500000,20,9876500118,Panaji,Female,TRUE
1RV19MCA21,Arun Paudwal,44,25000,1,9876500119,Patna,Female,TRUE
1RV19MCA22,Ashok Patki,45,75000,3,9876500120,Raipur,Male,TRUE
1RV19MCA23,Avadhoot Gupte,46,125000,5,9876500121,Ranchi,Female,TRUE
1RV19MCA24,B Ajaneesh Loknath,39,175000,7,9876500122,Shillong,Female,TRUE
1RV19MCA25,C. Ashwath,38,225000,9,9876500123,Shimla,Female,TRUE
1RV19MCA26,Chaitra HG,37,275000,11,9876500124,Srinagar,Male,TRUE
1RV19MCA27,S. D. Burman,,325000,13,9876500125,Thiruvananthapuram,Male,TRUE
1RV19MCA28,S. P. Balasubrahmanyam,35,375000,15,9876500126,Delhi,Male,TRUE
1RV19MCA29,M. S. Baburaj,34,425000,17,9876500127,Hyderabad,Male,TRUE
1RV19MCA30,Bappi Lahiri,33,50000,2,9876500128,Bengaluru,Male,TRUE
1RV19MCA31,Berny-Ignatius,32,100000,4,9876500129,Thiruvananthapuram,Male,TRUE
